Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8689,0.9299
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8964,0.9454
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8786,0.9354
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.8375,0.9116
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.1652,0.2835
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.1790,0.3037
