Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8489,0.9183
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8723,0.9318
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9066,0.9510
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0002,0.0005
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0000,0.0000
