Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8490,0.9184
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8655,0.9279
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9014,0.9482
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7860,0.8802
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0483,0.0921
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0107,0.0212
