Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8756,0.9337
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8878,0.9406
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8757,0.9337
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.8340,0.9095
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.1195,0.2135
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0833,0.1538
