Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8427,0.9146
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8639,0.9270
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8684,0.9296
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7186,0.8363
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0198,0.0389
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0000,0.0000
