Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8406,0.9134
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8677,0.9291
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9057,0.9505
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0281,0.0547
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0000,0.0000
