Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8460,0.9166
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8685,0.9296
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9097,0.9527
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.1540,0.2670
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0505,0.0962
