Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.9573,0.9782
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.9500,0.9744
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9509,0.9748
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.6680,0.8010
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.5073,0.6731
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.2496,0.3995
