Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8415,0.9139
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8672,0.9289
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8987,0.9466
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0495,0.0942
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0351,0.0679
