Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8694,0.9301
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8912,0.9425
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8756,0.9336
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.8193,0.9007
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0834,0.1540
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.1172,0.2098
