Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8719,0.9316
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8952,0.9447
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8804,0.9364
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.8170,0.8993
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.1426,0.2496
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.1500,0.2608
