Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8415,0.9139
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8741,0.9328
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9012,0.9481
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0441,0.0844
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0776,0.1441
