Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8724,0.9318
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8922,0.9430
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8790,0.9356
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.8436,0.9152
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.3190,0.4837
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.2692,0.4243
