Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.7879,0.8814
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.7699,0.8700
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.7715,0.8710
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.5466,0.7068
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0000,0.0000
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0155,0.0305
