Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8425,0.9145
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8693,0.9301
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9077,0.9516
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0104,0.0207
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0000,0.0000
