Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8713,0.9312
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8926,0.9433
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8756,0.9336
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.8487,0.9182
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.1567,0.2709
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.1898,0.3191
