Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8688,0.9298
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8950,0.9446
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8828,0.9378
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.8263,0.9049
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.3664,0.5363
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.3573,0.5265
