Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8459,0.9165
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8710,0.9310
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9085,0.9520
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0753,0.1400
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0752,0.1400
