Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8514,0.9198
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8716,0.9314
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8975,0.9460
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0513,0.0976
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0669,0.1253
