Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8255,0.9044
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8604,0.9250
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.8618,0.9258
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7532,0.8592
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0057,0.0113
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0000,0.0000
