Image,IoU,F1-Score
C:\Users\bluem\ANLResearch\scans\scans\00.png,0.8447,0.9158
C:\Users\bluem\ANLResearch\scans\scans\01.png,0.8684,0.9295
C:\Users\bluem\ANLResearch\scans\scans\07.png,0.9038,0.9495
C:\Users\bluem\ANLResearch\scans\scans\05.png,0.7851,0.8796
C:\Users\bluem\ANLResearch\scans\scans\14.png,0.0867,0.1595
C:\Users\bluem\ANLResearch\scans\scans\15.png,0.0000,0.0000
